city_id,city,state,mean_sd_salary_adj,mean_sd_salary_unadj,mean_salary_adj,Number of Software Developer Jobs,num_sd_jobs,col_avg,rent_avg,lpp_avg
1,columbus, oh,117552,108500,51260,13430,192000,984.8,1421.5,9335.4
2,seattle, wa,117323,131167,65400,65760,491600,1250.7,2528.2,8971.3
3,charlotte, nc,114122,107046,51000,12800,208500,989.9,1974.5,8939.8
4,colorado springs, co,112118,111670,51430,5780,296500,1049.2,1594,8493.1
5,dayton, oh,111616,99338,50100,4240,124100,961.2,1072.1,4887.7
6,greensboro, nc,111050,99612,44570,1560,136000,992.9,1445.4,5721.9
7,san francisco, ca,111017,142101,72400,59550,946700,1326.9,4163.3,8216.7
8,oakland, ca,111017,142101,72400,59550,946700,1313,3371.1,6894.3
9,san antonio, tx,110898,104688,46650,5410,194100,884.3,1469.5,8494.9
10,fort worth, tx,110891,111113,52590,46130,243900,995,1551.7,6949.2
11,dallas, tx,110891,111113,52590,46130,243900,958.7,1926.5,10530.6
12,durham, nc,110313,105018,59940,6800,243700,994.3,1616.2,6464.2
13,atlanta, ga,109849,106334,52750,38110,219600,1082.3,1865.4,8063
14,cincinnati, oh,109013,98112,50030,8620,169900,909.8,58597.6,7723.6
15,austin, tx,108990,109535,53810,21160,311300,939.6,2214.9,9762.4
16,raleigh, nc,107676,103584,52580,12560,267200,963.6,1589.4,8892.9
17,houston, tx,107672,109503,54290,20400,205600,903.4,1665.8,10673.7
18,baltimore, md,107282,115006,57740,16200,267800,1039.3,1600.5,8399.9
19,las vegas, nv,107175,104495,45600,3900,279900,965.6,1467.2,7702.6
20,tucson, az,107170,101919,47610,4480,206200,909.1,1062.1,5164.1
21,salt lake city, ut,106291,105334,50920,9600,366000,917.7,1625.8,8676.4
22,richmond, va,105258,101153,51330,6390,229600,957.3,1440.7,8079.7
23,lexington, ky,105248,95986,44900,1140,178400,889,1124,6318.6
24,denver, co,105197,111824,59440,26750,407900,1062,2125.8,8020.4
25,santa clara, ca,104964,137397,80480,78730,1193600,1263.3,3470.9,9589.6
26,san jose, ca,104964,137397,80480,78730,1193600,1041.5,3160.3,9711.8
27,portland, or,104335,106108,56160,15420,397400,1085.5,2031.7,6669.7
28,vancouver, wa,104335,106108,56160,15420,397400,968.8,1669.2,7780.4
29,wichita, ks,103690,92595,44500,1220,132900,832.5,931.6,7357.7
30,phoenix, az,103177,100804,50520,20440,266600,980.1,1683.8,8388.2
