rank,name,prev_rank,num_employee_m,revenues_m,revenue_change_m,profits_m,profit_change_m,assets_m,market_value_m
1,walmart,1,2300000,485873,0.008,13643,-0.072,198825,218619
2,berkshire hathaway,4,367700,223604,0.061,24074,0,620854,411035
3,apple,3,116000,215639,-0.077,45687,-0.144,321686,753718
4,exxon mobil,2,72700,205004,-0.167,7840,-0.515,330314,340056
5,mckesson,5,68000,192487,0.062,2258,0.53,56563,31439
6,unitedhealth group,6,230000,184840,0.177,7017,0.207,122810,157793
7,cvs health,7,204000,177526,0.158,5317,0.015,94462,81310
8,general motors,8,225000,166380,0.092,9427,-0.027,221690,52968
9,at&t,10,268540,163786,0.116,12976,-0.028,403821,255679
10,ford motor,9,201000,151800,0.015,4596,-0.377,237951,46349
11,amerisourcebergen,12,18500,146850,0.08,1427.9,null,33656,19229
12,amazon.com,18,341400,135987,0.271,2371,2.978,83402,423031
13,general electric,11,295000,126661,-0.098,8831,null,365183,259520
14,verizon,13,160900,125980,-0.043,13127,-0.266,244180,198900
15,cardinal health,21,37300,121546,0.185,1427,0.174,34122,25725
16,costco,15,172000,118719,0.022,2350,-0.011,33163,73606
17,walgreens boots alliance,19,300000,117351,0.134,4173,-0.011,72688,89645
18,kroger,17,443000,115337,0.05,1975,-0.031,36505,26961
19,chevron,14,55200,107567,-0.18,-497,-1.108,260078,203263
20,fannie mae,16,7000,107162,-0.029,12313,0.124,3287968,3011
21,j.p. morgan chase,23,243355,105486,0.044,24733,0.012,2490972,313761
22,express scripts holding,22,25600,100288,-0.014,3404.4,0.375,51745,39567
23,home depot,28,406000,94595,0.069,7957,0.135,42966,176368
24,boeing,24,150540,94571,-0.016,4895,-0.054,89997,107546
25,wells fargo,27,269100,94176,0.046,21938,-0.042,1930115,278516
26,bank of america corp.,26,208024,93662,0.007,17906,0.127,2187702,236182
27,alphabet,36,72053,90272,0.204,19478,0.191,167497,579426
28,microsoft,25,114000,85320,-0.088,16798,0.378,193694,508935
29,anthem,33,53000,84863,0.072,2469.8,-0.035,65083,43813
30,citigroup,29,219000,82386,-0.067,14912,-0.135,1792077,165394
31,comcast,37,159000,80403,0.079,8695,0.065,180500,178258
32,ibm,31,414400,79919,-0.031,11872,-0.1,117470,164251
33,state farm insurance cos.,35,68234,76132,0.006,350.3,-0.944,256030,null
34,phillips 66,30,14800,72396,-0.169,1555,-0.632,51653,40954
35,johnson & johnson,39,126400,71890,0.026,16540,0.073,141208,337642
36,procter & gamble,34,105000,71726,-0.089,10508,0.493,127136,229700
37,valero energy,32,9996,70166,-0.142,2289,-0.426,46173,29746
38,target,38,323000,69495,-0.058,2737,-0.186,37431,30502
39,freddie mac,43,5982,65665,0.034,7815,0.226,2023376,1612
40,lowe's,47,240000,65017,0.101,3093,0.215,34408,70481
41,dell technologies,null,138000,64806,0.181,-1672,null,118206,null
42,metlife,40,58000,63476,-0.093,800,-0.849,898764,57429
43,aetna,46,49500,63155,0.047,2271,-0.05,69146,44859
44,pepsico,44,264000,62799,-0.004,6329,0.161,74129,159763
45,archer daniels midland,41,31800,62346,-0.079,1279,-0.308,39769,26274
46,ups,48,335520,60906,0.044,3431,-0.292,40377,93276
47,intel,51,106000,59387,0.073,10316,-0.097,113327,170539
48,prudential financial,50,49739,58779,0.029,4368,-0.226,783962,45912
49,albertsons cos.,null,274000,58734,1.159,-502.2,null,23770,null
50,united technologies,45,201600,57244,-0.062,5055,-0.336,89706,89957
51,marathon petroleum,42,44460,55858,-0.135,1174,-0.588,44413,26679
52,disney,53,195000,55632,0.06,9391,0.12,92033,179298
53,humana,52,51600,54379,0.002,614,-0.519,25396,29743
54,pfizer,55,96500,52824,0.081,7215,0.037,171615,203725
55,aig,49,56400,52367,-0.102,-849,-1.387,498264,61154
56,lockheed martin,60,97000,50658,0.098,5302,0.471,47806,77557
57,sysco,57,51900,50367,0.035,949.6,0.383,16722,28048
58,fedex,58,335767,50365,0.061,1820,0.733,46064,52178
59,hewlett packard enterprise,null,195000,50123,null,3161,null,79679,39288
60,cisco systems,54,73700,49247,0.002,10739,0.196,121652,169266
61,hp,20,49000,48238,-0.533,2496,-0.452,29010,30231
62,dow chemical,56,56000,48158,-0.013,4318,-0.438,79511,77460
63,hca holdings,63,210500,44747,0.027,2890,0.357,33758,32966
64,coca-cola,62,100300,41863,-0.055,6527,-0.112,87270,182153
65,new york life insurance,61,11320,40787,-0.111,1088.1,3.241,287196,null
66,centene,124,30500,40721,0.786,562,0.583,20197,12271
67,american airlines group,67,122300,40180,-0.02,2676,-0.648,51274,21326
68,nationwide,69,34320,40074,-0.004,334.3,-0.424,197790,null
69,merck,72,68000,39807,0.008,3920,-0.118,95377,174454
70,cigna,79,41000,39668,0.047,1867,-0.108,59360,37604
71,delta air lines,68,83756,39639,-0.026,4373,-0.034,51261,33586
72,best buy,71,125000,39403,-0.009,1228,0.369,13856,15193
73,honeywell international,75,131000,39302,0.019,4809,0.009,54146,94991
74,caterpillar,59,95400,38537,-0.18,-67,-1.032,74704,54402
75,liberty mutual insurance group,73,50000,38308,-0.029,1006,0.957,125592,null
76,morgan stanley,78,55311,37949,0.001,5979,-0.024,814949,79947
77,massachusetts mutual life insurance,76,11737,37788,-0.012,1273.5,-0.106,271040,null
78,goldman sachs group,74,34400,37712,-0.038,7398,0.216,860165,91380
79,energy transfer equity,65,30992,37504,-0.11,995,-0.163,79011,21292
80,tiaa,82,12997,37105,0.055,1492.3,0.229,523194,null
81,oracle,77,136000,37047,-0.031,8901,-0.104,112180,183556
82,tyson foods,66,114000,36881,-0.109,1768,0.449,22373,22028
83,united continental holdings,80,88000,36556,-0.035,2263,-0.692,40140,22225
84,allstate,81,43275,36534,0.025,1877,-0.135,108610,29754
85,publix super markets,87,191000,34274,0.051,2025.7,0.031,17464,null
86,american express,85,56400,33823,-0.018,5408,0.047,158893,71193
87,tjx,89,235000,33184,0.072,2298.2,0.009,12884,51053
88,nike,91,70700,32376,0.058,3760,0.149,21396,92204
89,exelon,95,34396,31360,0.065,1134,-0.5,114904,33309
90,general dynamics,88,98800,31353,-0.004,2955,-0.003,32872,56791
91,rite aid,107,70580,30737,0.159,165.5,-0.922,11277,4473
