   name,city,state
albertsons cos.,boise,id
micron technology,boise,id
laboratory corp. of america,burlington,nc
lam research,fremont,ca
synnex,fremont,ca
ross stores,dublin,ca
clorox,oakland,ca
dick's sporting goods,coraopolis,pa
united states steel,pittsburgh,pa
wesco international,pittsburgh,pa
pnc financial services group,pittsburgh,pa
ppg industries,pittsburgh,pa
steel dynamics,fort wayne,in
newmont mining,greenwood village,co
arrow electronics,centennial,co
ch2m hill,englewood,co
dish network,englewood,co
liberty interactive,englewood,co
liberty media,englewood,co
western union,englewood,co
aes,arlington,va
calatlantic group,arlington,va
cummins,columbus,in
walmart,bentonville,ar
j.b. hunt transport services,lowell,ar
sealed air,elmwood park,nj
becton dickinson,franklin lakes,nj
ascena retail group,mahwah,nj
cognizant technology solutions,teaneck,nj
whirlpool,benton harbor,mi
iheartmedia,san antonio,tx
cst brands,san antonio,tx
valero energy,san antonio,tx
andeavor,san antonio,tx
usaa,san antonio,tx
harris,melbourne,fl
ball,broomfield,co
level 3 communications,broomfield,co
autonation,fort lauderdale,fl
burlington stores,burlington,nj
cincinnati financial,fairfield,oh
ak steel holding,west chester,oh
kellogg,battle creek,mi
campbell soup,camden,nj
dollar tree,chesapeake,va
genesis healthcare,kennett square,pa
las vegas sands,las vegas,nv
mgm resorts international,las vegas,nv
genuine parts,atlanta,ga
hd supply holdings,atlanta,ga
home depot,atlanta,ga
alliance data systems,plano,tx
dr pepper snapple group,plano,tx
j.c. penney,plano,tx
yum china holdings,plano,tx
chevron,san ramon,ca
us foods holding,rosemont,il
anixter international,glenview,il
illinois tool works,glenview,il
allstate,northbrook,il
kraft heinz,chicago,il
ingredion,westchester,il
sears holdings,hoffman estates,il
motorola solutions,chicago,il
jones lang lasalle,chicago,il
old republic international,chicago,il
exelon,chicago,il
boeing,chicago,il
r.r. donnelley & sons,chicago,il
united continental holdings,chicago,il
lkq,chicago,il
rite aid,camp hill,pa
keycorp,cleveland,oh
sherwin-williams,cleveland,oh
parker-hannifin,cleveland,oh
progressive,mayfield village,oh
travelcenters of america,westlake,oh
chs,inver grove height,mn
patterson,saint paul,mn
kimberly-clark,irving,tx
celanese,irving,tx
exxon mobil,irving,tx
fluor,irving,tx
vistra energy,irving,tx
michaels cos.,irving,tx
builders firstsource,dallas,tx
hollyfrontier,dallas,tx
at&t,dallas,tx
tenet healthcare,dallas,tx
dean foods,dallas,tx
energy transfer equity,dallas,tx
southwest airlines,dallas,tx
texas instruments,dallas,tx
american family insurance group,madison,wi
hershey,hershey,pa
dollar general,goodlettsville,tn
hca holdings,nashville,tn
airgas,radnor,pa
amerisourcebergen,chesterbrook,pa
lincoln national,radnor,pa
davita healthcare partners,denver,co
fannie mae,washington,dc
danaher,washington,dc
conagra foods,omaha,ne
berkshire hathaway,omaha,ne
union pacific,omaha,ne
arthur j. gallagher,itasca,il
univar,downers grove,il
dover,downers grove,il
mcdonald's,oak brook,il
treehouse foods,oak brook,il
navistar international,lisle,il
quintiles transnational holdings,durham,nc
csx,jacksonville,fl
fidelity national financial,jacksonville,fl
fidelity national information services,jacksonville,fl
auto-owners insurance,lansing,mi
western refining,el paso,tx
m&t bank corp.,buffalo,ny
erie insurance group,erie,pa
adp,roseland,nj
prudential financial,newark,nj
public service enterprise group,newark,nj
nvr,reston,va
leidos holdings,reston,va
computer sciences corporation,mclean,va
general dynamics,falls church,va
northrop grumman,falls church,va
adobe systems,mclean,va
booz allen hamilton holding,mclean,va
capital one financial,mclean,va
freddie mac,mclean,va
hilton worldwide holdings,mclean,va
praxair,danbury,ct
general electric,fairfield,ct
w.r. berkley,greenwich,ct
xpo logistics,greenwich,ct
xerox,norwalk,ct
emcor group,norwalk,ct
frontier communications,norwalk,ct
priceline group,norwalk,ct
terex,westport,ct
charter communications,stamford,ct
harman international industries,stamford,ct
synchrony financial,stamford,ct
united rentals,stamford,ct
bb&t corp.,winston-salem,nc
reynolds american,winston-salem,nc
hanesbrands,winston-salem,nc
big lots,columbus,oh
cardinal health,dublin,oh
american electric power,columbus,oh
nationwide,columbus,oh
l brands,columbus,oh
veritiv,atlanta,ga
asbury automotive group,duluth,ga
southern,atlanta,ga
suntrust banks,atlanta,ga
coca-cola,atlanta,ga
intercontinental exchange,atlanta,ga
newell brands,hoboken,nj
ups,atlanta,ga
first data,atlanta,ga
delta air lines,atlanta,ga
carmax,richmond,va
mohawk industries,calhoun,ga
o'reilly automotive,springfield,mo
vf,greensboro,nc
westrock,norcross,ga
agco,duluth,ga
ncr,atlanta,ga
unum group,chattanooga,tn
american financial group,cincinnati,oh
kroger,cincinnati,oh
macy's,cincinnati,oh
western & southern financial group,cincinnati,oh
fifth third bancorp,cincinnati,oh
eversource energy,springfield,ma
massachusetts mutual life insurance,springfield,ma
marathon petroleum,findlay,oh
owens & minor,mechanicsville,va
calpine,houston,tx
centerpoint energy,houston,tx
enterprise products partners,houston,tx
eog resources,houston,tx
kinder morgan,houston,tx
pacific life,newport beach,ca
plains gp holdings,houston,tx
targa resources,houston,tx
