name,year,sector,hq_state
apple,1976,consumer electronics,CA
microsoft,1975,software infrastructure,WA
alphabet,1998,software infrastructure,CA
amazon.com,1994,software application,WA
nvidia,1993,semiconductors,CA
tesla,2003,software infrastructure,TX
facebook,2004,software infrastructure,CA
broadcom inc.,1961,semiconductors,CA
oracle,1977,software infrastructure,TX
cisco systems,1984,communication equipments,CA
salesforce.com,1999,software application,CA
adobe systems,1982,software infrastructure,CA
texas instruments,1930,semiconductors,TX
advanced micro devices (amd) inc.,1969,semiconductors,CA
qualcomm,1985,semiconductors,CA
netflix,1997,software application,CA
intel,1968,semiconductors,CA
intuit inc.,1983,software application,CA
ibm,1911,it services,NY
applied materials,1967,semiconductors,CA
booking holdings,1996,software application,CT
analog devices inc.,1965,semiconductors,MA
servicenow inc.,2004,software application,NJ
automatic data processing,1949,software application,CA
paypal holdings,1998,software infrastructure,CA
airbnb,2008,software application,CA
fiserv inc.,1984,it services,WI
lam research,1980,semiconductors,CA
uber technologies inc.,2009,software application,CA
micron technology,1978,semiconductors,ID
equinix,1998,it services,CA
activision blizzard,2008,software application,CA
palo alto networks inc.,2005,software infrastructure,CA
synopsys inc.,1986,software infrastructure,CA
cadence design systems inc.,1988,software application,CA
kla corporation,1997,semiconductors,CA
arista networks inc.,2004,computer hardware,CA
vmware,1998,software infrastructure,CA
workday inc.,2005,software application,CA
fortinet inc.,2000,software infrastructure,CA
block inc.,2009,software infrastructure,CA
snowflake inc.,2012,software application,MT
roper technologies,1890,electronic components,FL
microchip technology inc.,1989,semiconductors,AR
autodesk inc.,1982,software application,CA
globalfoundries,2009,semiconductors,NY
iqvia holdings,1982,software application,NC
marvell technology inc.,1995,semiconductors,CA
dell technologies,1984,computer hardware,TX
hp,1939,computer hardware,CA
